discrete_measure,loss,r2,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
tensor(0.9485),tensor(0.4063),tensor(-156622.6875),0.6328303813934326,False,,,1,1f139_00001,38a44d0c2d6d4f7c99197a2e0abe0ca3,2023-02-24_16-08-58,1677251338,0.6328303813934326,5364,DESKTOP-5426U45,127.0.0.1,0.6328303813934326,0,1,0.00516200065612793
tensor(0.9494),tensor(0.4030),tensor(-110970.2266),0.5938808917999268,False,,,2,1f139_00001,38a44d0c2d6d4f7c99197a2e0abe0ca3,2023-02-24_16-08-58,1677251338,1.2267112731933594,5364,DESKTOP-5426U45,127.0.0.1,1.2267112731933594,0,2,0.00516200065612793
tensor(0.9499),tensor(0.3995),tensor(-72330.9688),0.45066285133361816,False,,,3,1f139_00001,38a44d0c2d6d4f7c99197a2e0abe0ca3,2023-02-24_16-08-59,1677251339,1.6773741245269775,5364,DESKTOP-5426U45,127.0.0.1,1.6773741245269775,0,3,0.00516200065612793
tensor(0.9497),tensor(0.3960),tensor(-48595.2891),0.5933980941772461,False,,,4,1f139_00001,38a44d0c2d6d4f7c99197a2e0abe0ca3,2023-02-24_16-08-59,1677251339,2.2707722187042236,5364,DESKTOP-5426U45,127.0.0.1,2.2707722187042236,0,4,0.00516200065612793
tensor(0.9497),tensor(0.3923),tensor(-33831.8906),0.46763157844543457,False,,,5,1f139_00001,38a44d0c2d6d4f7c99197a2e0abe0ca3,2023-02-24_16-09-00,1677251340,2.738403797149658,5364,DESKTOP-5426U45,127.0.0.1,2.738403797149658,0,5,0.00516200065612793
tensor(0.9494),tensor(0.3887),tensor(-24827.8770),0.465634822845459,False,,,6,1f139_00001,38a44d0c2d6d4f7c99197a2e0abe0ca3,2023-02-24_16-09-00,1677251340,3.204038619995117,5364,DESKTOP-5426U45,127.0.0.1,3.204038619995117,0,6,0.00516200065612793
tensor(0.9499),tensor(0.3851),tensor(-19873.8125),0.46812987327575684,False,,,7,1f139_00001,38a44d0c2d6d4f7c99197a2e0abe0ca3,2023-02-24_16-09-01,1677251341,3.672168493270874,5364,DESKTOP-5426U45,127.0.0.1,3.672168493270874,0,7,0.00516200065612793
tensor(0.9504),tensor(0.3816),tensor(-16196.7979),0.4516758918762207,False,,,8,1f139_00001,38a44d0c2d6d4f7c99197a2e0abe0ca3,2023-02-24_16-09-01,1677251341,4.123844385147095,5364,DESKTOP-5426U45,127.0.0.1,4.123844385147095,0,8,0.00516200065612793
tensor(0.9512),tensor(0.3781),tensor(-13583.1484),0.4451580047607422,False,,,9,1f139_00001,38a44d0c2d6d4f7c99197a2e0abe0ca3,2023-02-24_16-09-02,1677251342,4.569002389907837,5364,DESKTOP-5426U45,127.0.0.1,4.569002389907837,0,9,0.00516200065612793
tensor(0.9512),tensor(0.3744),tensor(-11152.3193),0.535006046295166,False,,,10,1f139_00001,38a44d0c2d6d4f7c99197a2e0abe0ca3,2023-02-24_16-09-02,1677251342,5.104008436203003,5364,DESKTOP-5426U45,127.0.0.1,5.104008436203003,0,10,0.00516200065612793
tensor(0.9519),tensor(0.3706),tensor(-9137.3779),0.4821047782897949,False,,,11,1f139_00001,38a44d0c2d6d4f7c99197a2e0abe0ca3,2023-02-24_16-09-03,1677251343,5.586113214492798,5364,DESKTOP-5426U45,127.0.0.1,5.586113214492798,0,11,0.00516200065612793
tensor(0.9529),tensor(0.3668),tensor(-7758.4473),0.45116186141967773,False,,,12,1f139_00001,38a44d0c2d6d4f7c99197a2e0abe0ca3,2023-02-24_16-09-03,1677251343,6.037275075912476,5364,DESKTOP-5426U45,127.0.0.1,6.037275075912476,0,12,0.00516200065612793
tensor(0.9537),tensor(0.3630),tensor(-6677.0576),0.45117783546447754,False,,,13,1f139_00001,38a44d0c2d6d4f7c99197a2e0abe0ca3,2023-02-24_16-09-04,1677251344,6.488452911376953,5364,DESKTOP-5426U45,127.0.0.1,6.488452911376953,0,13,0.00516200065612793
tensor(0.9534),tensor(0.3592),tensor(-5843.8481),0.4666166305541992,False,,,14,1f139_00001,38a44d0c2d6d4f7c99197a2e0abe0ca3,2023-02-24_16-09-04,1677251344,6.955069541931152,5364,DESKTOP-5426U45,127.0.0.1,6.955069541931152,0,14,0.00516200065612793
tensor(0.9551),tensor(0.3555),tensor(-5158.3311),0.44267845153808594,False,,,15,1f139_00001,38a44d0c2d6d4f7c99197a2e0abe0ca3,2023-02-24_16-09-04,1677251344,7.397747993469238,5364,DESKTOP-5426U45,127.0.0.1,7.397747993469238,0,15,0.00516200065612793
tensor(0.9556),tensor(0.3518),tensor(-4590.3193),0.4446747303009033,False,,,16,1f139_00001,38a44d0c2d6d4f7c99197a2e0abe0ca3,2023-02-24_16-09-05,1677251345,7.842422723770142,5364,DESKTOP-5426U45,127.0.0.1,7.842422723770142,0,16,0.00516200065612793
tensor(0.9554),tensor(0.3482),tensor(-4139.0488),0.4516594409942627,False,,,17,1f139_00001,38a44d0c2d6d4f7c99197a2e0abe0ca3,2023-02-24_16-09-05,1677251345,8.294082164764404,5364,DESKTOP-5426U45,127.0.0.1,8.294082164764404,0,17,0.00516200065612793
tensor(0.9554),tensor(0.3447),tensor(-3818.7068),0.45117783546447754,False,,,18,1f139_00001,38a44d0c2d6d4f7c99197a2e0abe0ca3,2023-02-24_16-09-06,1677251346,8.745260000228882,5364,DESKTOP-5426U45,127.0.0.1,8.745260000228882,0,18,0.00516200065612793
tensor(0.9559),tensor(0.3411),tensor(-3542.1221),0.4531431198120117,False,,,19,1f139_00001,38a44d0c2d6d4f7c99197a2e0abe0ca3,2023-02-24_16-09-06,1677251346,9.198403120040894,5364,DESKTOP-5426U45,127.0.0.1,9.198403120040894,0,19,0.00516200065612793
tensor(0.9571),tensor(0.3376),tensor(-3290.0444),0.44317626953125,False,,,20,1f139_00001,38a44d0c2d6d4f7c99197a2e0abe0ca3,2023-02-24_16-09-07,1677251347,9.641579389572144,5364,DESKTOP-5426U45,127.0.0.1,9.641579389572144,0,20,0.00516200065612793
tensor(0.9579),tensor(0.3340),tensor(-3048.9768),0.4486660957336426,False,,,21,1f139_00001,38a44d0c2d6d4f7c99197a2e0abe0ca3,2023-02-24_16-09-07,1677251347,10.090245485305786,5364,DESKTOP-5426U45,127.0.0.1,10.090245485305786,0,21,0.00516200065612793
tensor(0.9576),tensor(0.3303),tensor(-2839.7878),0.44716978073120117,False,,,22,1f139_00001,38a44d0c2d6d4f7c99197a2e0abe0ca3,2023-02-24_16-09-08,1677251348,10.537415266036987,5364,DESKTOP-5426U45,127.0.0.1,10.537415266036987,0,22,0.00516200065612793
tensor(0.9576),tensor(0.3265),tensor(-2672.7480),0.5594611167907715,False,,,23,1f139_00001,38a44d0c2d6d4f7c99197a2e0abe0ca3,2023-02-24_16-09-08,1677251348,11.096876382827759,5364,DESKTOP-5426U45,127.0.0.1,11.096876382827759,0,23,0.00516200065612793
tensor(0.9579),tensor(0.3227),tensor(-2528.8875),0.503563642501831,False,,,24,1f139_00001,38a44d0c2d6d4f7c99197a2e0abe0ca3,2023-02-24_16-09-09,1677251349,11.60044002532959,5364,DESKTOP-5426U45,127.0.0.1,11.60044002532959,0,24,0.00516200065612793
tensor(0.9586),tensor(0.3188),tensor(-2405.7000),0.468630313873291,False,,,25,1f139_00001,38a44d0c2d6d4f7c99197a2e0abe0ca3,2023-02-24_16-09-09,1677251349,12.06907033920288,5364,DESKTOP-5426U45,127.0.0.1,12.06907033920288,0,25,0.00516200065612793
tensor(0.9589),tensor(0.3149),tensor(-2297.1082),0.45066213607788086,False,,,26,1f139_00001,38a44d0c2d6d4f7c99197a2e0abe0ca3,2023-02-24_16-09-10,1677251350,12.519732475280762,5364,DESKTOP-5426U45,127.0.0.1,12.519732475280762,0,26,0.00516200065612793
tensor(0.9589),tensor(0.3109),tensor(-2198.6257),0.4486660957336426,False,,,27,1f139_00001,38a44d0c2d6d4f7c99197a2e0abe0ca3,2023-02-24_16-09-10,1677251350,12.968398571014404,5364,DESKTOP-5426U45,127.0.0.1,12.968398571014404,0,27,0.00516200065612793
tensor(0.9599),tensor(0.3070),tensor(-2104.5793),0.45066332817077637,False,,,28,1f139_00001,38a44d0c2d6d4f7c99197a2e0abe0ca3,2023-02-24_16-09-10,1677251350,13.41906189918518,5364,DESKTOP-5426U45,127.0.0.1,13.41906189918518,0,28,0.00516200065612793
tensor(0.9611),tensor(0.3030),tensor(-2012.2977),0.45265936851501465,False,,,29,1f139_00001,38a44d0c2d6d4f7c99197a2e0abe0ca3,2023-02-24_16-09-11,1677251351,13.871721267700195,5364,DESKTOP-5426U45,127.0.0.1,13.871721267700195,0,29,0.00516200065612793
tensor(0.9616),tensor(0.2990),tensor(-1923.6293),0.4601595401763916,False,,,30,1f139_00001,38a44d0c2d6d4f7c99197a2e0abe0ca3,2023-02-24_16-09-11,1677251351,14.331880807876587,5364,DESKTOP-5426U45,127.0.0.1,14.331880807876587,0,30,0.00516200065612793
tensor(0.9614),tensor(0.2949),tensor(-1837.8293),0.44615674018859863,False,,,31,1f139_00001,38a44d0c2d6d4f7c99197a2e0abe0ca3,2023-02-24_16-09-12,1677251352,14.778037548065186,5364,DESKTOP-5426U45,127.0.0.1,14.778037548065186,0,31,0.00516200065612793
tensor(0.9616),tensor(0.2909),tensor(-1753.3640),0.552473783493042,False,,,32,1f139_00001,38a44d0c2d6d4f7c99197a2e0abe0ca3,2023-02-24_16-09-12,1677251352,15.330511331558228,5364,DESKTOP-5426U45,127.0.0.1,15.330511331558228,0,32,0.00516200065612793
tensor(0.9631),tensor(0.2869),tensor(-1670.0701),0.4551692008972168,False,,,33,1f139_00001,38a44d0c2d6d4f7c99197a2e0abe0ca3,2023-02-24_16-09-13,1677251353,15.785680532455444,5364,DESKTOP-5426U45,127.0.0.1,15.785680532455444,0,33,0.00516200065612793
tensor(0.9631),tensor(0.2829),tensor(-1589.5050),0.45265960693359375,False,,,34,1f139_00001,38a44d0c2d6d4f7c99197a2e0abe0ca3,2023-02-24_16-09-13,1677251353,16.238340139389038,5364,DESKTOP-5426U45,127.0.0.1,16.238340139389038,0,34,0.00516200065612793
tensor(0.9648),tensor(0.2788),tensor(-1509.7965),0.4466552734375,False,,,35,1f139_00001,38a44d0c2d6d4f7c99197a2e0abe0ca3,2023-02-24_16-09-14,1677251354,16.684995412826538,5364,DESKTOP-5426U45,127.0.0.1,16.684995412826538,0,35,0.00516200065612793
tensor(0.9653),tensor(0.2748),tensor(-1433.6265),0.5659480094909668,False,,,36,1f139_00001,38a44d0c2d6d4f7c99197a2e0abe0ca3,2023-02-24_16-09-14,1677251354,17.250943422317505,5364,DESKTOP-5426U45,127.0.0.1,17.250943422317505,0,36,0.00516200065612793
tensor(0.9666),tensor(0.2708),tensor(-1360.9320),0.45066308975219727,False,,,37,1f139_00001,38a44d0c2d6d4f7c99197a2e0abe0ca3,2023-02-24_16-09-15,1677251355,17.701606512069702,5364,DESKTOP-5426U45,127.0.0.1,17.701606512069702,0,37,0.00516200065612793
tensor(0.9673),tensor(0.2667),tensor(-1299.1947),0.4451727867126465,False,,,38,1f139_00001,38a44d0c2d6d4f7c99197a2e0abe0ca3,2023-02-24_16-09-15,1677251355,18.14677929878235,5364,DESKTOP-5426U45,127.0.0.1,18.14677929878235,0,38,0.00516200065612793
tensor(0.9676),tensor(0.2626),tensor(-1241.5527),0.44168901443481445,False,,,39,1f139_00001,38a44d0c2d6d4f7c99197a2e0abe0ca3,2023-02-24_16-09-16,1677251356,18.588468313217163,5364,DESKTOP-5426U45,127.0.0.1,18.588468313217163,0,39,0.00516200065612793
tensor(0.9668),tensor(0.2585),tensor(-1188.8394),0.4436805248260498,False,,,40,1f139_00001,38a44d0c2d6d4f7c99197a2e0abe0ca3,2023-02-24_16-09-16,1677251356,19.032148838043213,5364,DESKTOP-5426U45,127.0.0.1,19.032148838043213,0,40,0.00516200065612793
tensor(0.9686),tensor(0.2544),tensor(-1140.3280),0.4451735019683838,False,,,41,1f139_00001,38a44d0c2d6d4f7c99197a2e0abe0ca3,2023-02-24_16-09-17,1677251357,19.477322340011597,5364,DESKTOP-5426U45,127.0.0.1,19.477322340011597,0,41,0.00516200065612793
tensor(0.9696),tensor(0.2503),tensor(-1095.3679),0.44216418266296387,False,,,42,1f139_00001,38a44d0c2d6d4f7c99197a2e0abe0ca3,2023-02-24_16-09-17,1677251357,19.91948652267456,5364,DESKTOP-5426U45,127.0.0.1,19.91948652267456,0,42,0.00516200065612793
tensor(0.9696),tensor(0.2462),tensor(-1051.2524),0.45166015625,False,,,43,1f139_00001,38a44d0c2d6d4f7c99197a2e0abe0ca3,2023-02-24_16-09-17,1677251357,20.37114667892456,5364,DESKTOP-5426U45,127.0.0.1,20.37114667892456,0,43,0.00516200065612793
tensor(0.9706),tensor(0.2421),tensor(-1001.4567),0.43868470191955566,False,,,44,1f139_00001,38a44d0c2d6d4f7c99197a2e0abe0ca3,2023-02-24_16-09-18,1677251358,20.809831380844116,5364,DESKTOP-5426U45,127.0.0.1,20.809831380844116,0,44,0.00516200065612793
tensor(0.9713),tensor(0.2379),tensor(-950.6599),0.5919005870819092,False,,,45,1f139_00001,38a44d0c2d6d4f7c99197a2e0abe0ca3,2023-02-24_16-09-18,1677251358,21.401731967926025,5364,DESKTOP-5426U45,127.0.0.1,21.401731967926025,0,45,0.00516200065612793
